id,source,translation,n2m
1,很久很久以后的某天，她的丈夫从医院回来。,それから何年も経ったある日のこと、夫が病院から戻ってきた。,1-1
2,"他表情严肃，说""文化大革命""了，医院天天开会，也有人写了他的大字报，说他的历史有问题。",表情は硬く、「文化大革命になった」と言った。 病院では連日会議が開かれ、夫を批判する壁新聞が出て過去に問題があると言う人がいるというのだ。,1-2
3,她很紧张，不知道丈夫向她讲述这些意味着什么。,女のこころは凍りついた夫が語ることが何を意味しているのか分からない。,1-1
4,但她的丈夫却突然说，你不会有事的，我会保护你。,だが、夫は突然言った。 お前には関係ないことだ。 私はお前を守る。,1-3
5,你过去的事，一辈子都不要想起来。,昔のことは、死ぬまで思い出してはいけない。,1-1
6,你最大的敌人，不是外面的人，恐怕是那些你不记得的东西。,お前の最大の敵は外の人間ではなく、恐らくはお前が覚えていないことなのだ。,1-1
7,如果有人问你，你就说你什么都不知道，这样就行了。,誰かに訊かれたら、何にも知らないんですと答えれば大丈夫だ。,1-1
8,你是哪里人？,あなたはどこの人ですか？,1-1
9,住在哪个村？,何村に住んでます？,1-1
10,你多大年龄？,お幾つですか？,1-1
11,你家里还有什么人？,家族は誰がいますか？,1-1
12,你怎么掉进了河里？是翻船了，还是坏人把你扔下去的？,どうして川に落ちたのです？ 船が沈没したためですか、それとも誰かに落とされたのですか?,1-2
13,就你一个落水的吗。,落ちたのはあなただけですか？……,1-1
14,人们交替着询问，即令声音温和也如一根根利刺扎过来，她的心瞬间剧痛无比。,人々は代わる代わる訊ねた。 その声は優しくともどこかトゲがあり、女のこころはこの上なく傷んで、べッドに丸くなった。,1-2
16,她想，是呀，我是哪里人呢？,そうなのだ、私はどこの人間なのだろう?,1-1
17,我住哪里呢？,住処はどこ？,1-1
18,我叫什么呢？ 我怎么会掉进河里了？,名前は？どうして川に落ちてしまったのだろう？,2-1
19,她完全没有了印象。,女は全く記憶がなくなっていた。,1-1
20,我怎么会记不得呢？ 我怎么连自己都记不得了呢？,どうして何も思い出せないのだろう? なぜ何もかも記憶がないのだ？,2-2
21,于是她哭了起来。,彼女は泣き出した。,1-1
22,她说，我不记得。,覚えていないの、女は訴えた。,1-1
23,她是真的不记得了。,女は本当に記意を失っていた。,1-1
24,于是人们说，你想想，仔细地想想。,人々は言った。 よく考えて、思い出すんだ。,1-2
25,你是被人从河里捞出来的。,あんたは川の中から救出されたんだ。,1-1
26,你从河水开始想，也许能想起来。,川の中のことから考えれば、思い出せるかも知れないよ。,1-1
27,她依着人们的要求，果然认真去回想。,女は人々の言葉に従って、一心に思い出そうとした。,1-1
28,但她的思路一到河边，哗哗的水声便像炸雷一样轰响，莫名的恐惧随着水声汹涌而来。,だが、川辺まで記憶がたどり着くと、ゴーゴーという川音が雷鳴のように轟いてきた。 名もなき恐怖心が逆巻く水音とともに襲ってくるのだ。,1-2
29,波涛中如同藏着魔鬼，虽然看不见摸不着，却狠狠地袭击她的身心。,すると、逆巻く波の中に化け物が隠れている。 その姿は見えず触れもできないのだが、激しく女の精神と肉体を襲った。,1-2
30,她顿时失控，放声地痛哭以及尖叫，声音歇斯底里。,女はにわかに暴れだし、声を出して激しく泣き、ヒステリックに叫んだ。,1-1
31,一位吴姓医生严厉制止了那些好奇的人。,呉という名の医師が興味本位の人々を厳しく制止した。,1-1
32,他说，她可能受了刺激。,この女はショックを受けたに違いない。,1-1
33,不要让她再想了，让她养病吧。,これ以上考えさせてはいけない、静養させよう。,1-1
34,于是，人们不再追问，只是明里暗里都用怜惜的口吻谈着她。,そこで人々は問いかけるのを止め、陰に陽に同情のロぶりで女について噂し合った。,1-1
35,那是一个很美丽的春天。,これはうららかな春の日の出来事である。,1-1
36,这个女人一直在跟自己做斗争。,その女はずっと自分と闘ってきた。,1-1
37,她已经很老了。,女はすでに老いてしまった。,1-1
38,所有皮肤都松软地趴着，连一条像样的皱纹都撑不起来。,皮膚は生気なくたるみ、皺らしい皺は一つもつまむことができない。,1-1
39,她的脸和脖子细痕密布。,顔や首筋には細い筋が密集している。,1-1
40,因肤色白皙，这些痕迹不像是时光之刀随意划下，而更像是一支细笔，一下一下描绘而出。,皮膚が白いので、その細めえがの筋は時の経過によってできたというよりも、細い筆で一描き一描き画かれたもののように見えた。,1-1
41,她的眼睛也已浑浊不堪，但在蓦然睁大时，仍然能看到有光芒从中射出。,その目はすでにひどく混濁していたが、急に大きく見開くと、きらりと光るものがあった。,1-1
42,她经常盯着一处发呆，似乎若有所思，又似百般无聊。,女はいつも虚空を見つめぼんやりしていた。 思うところがあるかのようであり、無聊をかこっているようでもあった。,1-2
43,"为此偶尔会有路人好奇，说：""太婆，你在想什么？""",そのため、通りかかりの人は気になって声をかけた。 「おばあさん、何を考えてんだい？」,1-2
44,这个时候，她会露出一脸茫然，望着路人，喃喃说几句没人听得见的话。,そんなとき、女はぼんやりしたまま通りかかった人を見つめ、ぶつぶっと何か言った。 だが誰も聞き取れないのだった。,1-2
45,她不知道自己说了什么。,女は自分でも何を言っているのか分からないのだ。,1-1
46,其实，她也不知道自己有没有在想。,実のところ、考え事をしているかどうかも意識がない。,1-1
47,她只是觉得有很多奇怪的东西拼命朝外跳，似乎在撩拨她的记忆。,ただ、とても多くの奇妙なものがしきりに外に向かって飛び出している感じがしていた。 まるで記憶が刺激されているかのようだ。,1-2
48,而那些，正是她一生都不愿意触碰的东西她拼命抵抗。,その奇妙なものは、女が一生触れたくないことだった。 女はそれに命をかけて抵抗した。,1-2
49,她的抵抗，有如一张大网，密不透风，仿佛笼罩和绑缚着一群随时奔突而出的魔鬼。,それは、風を通さぬ大きなネットのように、時おり突如現れる化け物を包み込み、縛り上げていた。,1-1
50,她这一生，始终都拎着这张网，与它们搏斗。,女の一生は、初めから終わりまでこのネットを手に、化け物どもと闘うことだった。,1-1
51,丈夫活着时，曾经提议她不妨想一想，或许想出了什么，人就心安了。,夫は生前、気にせず考えてみろと言った。 もしも何かを思い出せば、気持ちは休まる、と。,1-2
52,她愿意听从他的话，当真迫使自己静下心来，用劲回想。,女は夫の言葉に従いたくて、何とかこころを平静に保ち懸命に記憶をたどった。,1-1
53,但几乎瞬间，浑身的烦躁如同无数钢针，迸射般地扎来，劲道凶猛，令她有五脏俱裂之感。,だが、ほんの一瞬、全身の苛立ちが無数の針となって速射砲のように突き刺さり、その力は凄まじく五臓六腑が引き裂かれる思いになるのだった。,1-1
54,此一时刻，她的痛，以及累，让她几乎无法喘息。,そのときは、女は痛みと辛さで息もできないほどだった。,1-1
55,"她绝望地对她的丈夫说：""你不要逼我。我不能想。我一想就觉得我该去死。""她的丈夫吓着了。",女は絶望的になって夫に言った。 「もう私を追いつめないでよ。 私、考えられない。 考えると、すぐ死にたくなる」,1-4
57,"沉默片刻，对她说：""那就不用再想了。尽量给自己找件事做，忙碌可以干扰思路。""",しばし沈黙の後、言った。 「じゃあ、もう考えるな。 何とか自分でできる仕事を探すんだ。 忙しくしていれば考えなくてすむから」,1-4
58,她依了丈夫的话去做，每天都忙忙碌碌。,女は夫の言葉に従って、毎日を忙しく過ごした。,1-1
59,其实她也并没有什么事业，她的事业就是做家务。,けれども、特別の為すべきことがあるわけではなく、あるのは家事だけだった。,1-1
60,她每天都忙着擦洗打扫，把家里整理得一尘不染。,毎日忙しく床やテープルを磨き掃除をし、家の中は塵一つなく片付けられていた。,1-1
61,每一个去过她家的人，都会说，你家真是太干净了。,家にやって来る人は、誰もが言った。 あんたの家、ほんとにきれいね。,1-2
62,她的丈夫是医生，也以此为傲。,私の夫は医者なの、女はそのことが誇りだった。,1-1
63,如此，她的生活渐渐正常。,こうして、女の生活は徐々に正常になっていった。,1-1
64,多少年了，她一直这样。,何年ものあいだ、女の生活は変わらなかった。,1-1
65,每一年的时间，都如一张细密严实的膜，将她记忆背后的东西层层覆盖。,どの年もびたりと閉まった一枚の膜のようで、女の記憶の背後にあるものを年々覆っていった。,1-1
66,一年一张，岁岁年年，由薄而厚，凝结成板，那些深藏在她意识里的魔鬼统统被封压了下去。,一年に一枚、その膜は毎年徐々に厚くなり、ついには固まって板になり、意識の奥に隠された化け物どもは完全に抑え込まれていった。,1-1
67,但那是些什么东西呢？她完全不知道。,だが、それはどんなものなのか？ 女には全く分からなかった。,1-2
68,她失忆是在一九五二年的春天。,女が記憶を失ったのは一九五二年春のことである。,1-1
69,她没有体会到这是丈夫的安慰和提醒，心里反倒是狠狠的一阵悸动。,女はこうした言葉が夫からの慰めと忠告であることを理解せず、反対にしばし動悸が激しくなった。,1-1
70,仿佛那些隐匿得几近消失的死敌，已然被她的丈夫所掌控。,こころの奥にしまい込みもう少しで消えそうな敵は、あたかも夫の手に握られているかのような気になるのだ。,1-1
71,那到底是些什么呢？,一体これはどういうことだろう？,1-1
72,难道我都不知道的东西，他会知道？她想着时，甚至感觉到恐惧的气息扑面而来。,まさか私の知らないことを夫が知っているわけではあるまい？ そう考えていると、恐怖の感情がふつふつと湧いてくるのを感じた。,1-2
73,这份恐惧就在她的身边。 日日夜夜，分分秒秒。,この恐怖は、日々、夜な夜な女の身に纏わりつき、一時も離れなかった。,2-1
74,于是她明白，多年以来，这个她深爱的人也是她深怕的人。,そこで女は分かった。 長年来、女が最も愛した人は女の最も恐れる人でもあったのだ。,1-2
75,为什么呢？她为什么会产生这样的感觉？她很惶惑，也不明白。,なぜだろう？ なぜ女はこうした思いを抱いたのだろうか？ 女は不安でどうしていいか分からなかった。,1-3
76,但这种感觉就是在。,だが、間違いなく女のこころにはこの思いが巣くっていた。,1-1
77,窗外的桃树满头缀着粉色花朵。,窓の外ではモモの木がピンク色の花をいつばいにつけていた。,1-1
78,院墙边的杏花也白成了一排，与白色的墙壁衬在一起，远了竟看不出花色。,病院の塀際に咲くアンズは白い花をつけて並び、白い塀に溶けて、遠目には花の見分けがっかなかった。,1-1
79,更远处，几株老银杏摇着碧绿的叶子，粗壮的树干已经猜不出它栽植于何年。,遠くには、数本イチョウの老木が緑の葉を揺らし、がっしりした幹からは何年ごろ植えられたのかさえ分からない。,1-1
80,更远更远，山的影子柔软地起伏着，轮廓像花瓣。,さらに遠くには山並みが優しく起伏し、花びらのような輪郭に見えた。,1-1
81,院子角落的迎春花开得快要败了，那明亮的黄花却依然闪烁着明亮。,庭の角に咲くオウバイはほどなく散ろうとしているが、黄色の花の明るさはまだ輝いている。,1-1
82,五彩缤纷突然都进入她的眼里。,色とりどりの花が突然女の視界に飛び込んできた。,1-1
83,回春中的鸟儿此刻似乎抖擞出精神，尽管风还有寒意，它们却在这轻微的寒意里兀自地唱。,春を告げる鳥はいま元気になり、風はまだ冷たいものの、寒さの残る中、相変わらず囀っている。,1-1
84,在这样的景致和这样的声音中，她慢慢地安静下来。,こうした景色と鳴き声の中、女は徐々に気持ちを落ち着かせていった。,1-1
85,人们把她从湍急的河流里捞出时，她一丝不挂。,女は急流の中から救出されたとき、一糸まとわぬ姿だった。,1-1
86,从头到脚，浑身是伤。,頭のてつべんから爪先まで、傷だらけだ。,1-1
87,那是石头和激流相撞的结果。,石が激流にぶつかり流されてきたためにできた傷だった。,1-1
88,救她的人说水把她泡得浑身发白，只剩头发是黑的，一下子都看不到伤在哪里。,彼女を救出した人によれば、その身体は水に浸かって白くなり、頭髪だけが黒かったので、すぐにはどこに傷を負っているのか分からなかった。,1-1
89,得幸有几个军医正在附近村庄出诊，他们直接把她送到了那里。,運よく数人の軍医が近くの村まで診察に来ており、女はその村に送られた。,1-1
90,急救之后，那几个医生迅速地把她带回了医院。,救急手当の後、軍医たちは彼女を病院に急送した。,1-1
91,她在医院里住了半个多月才苏醒。,女は病院で半月あまり入院して、ようやく意識を取り戻した。,1-1
92,当她清醒过来，试图回答人们的询问时，突然傻了眼。,そして、質問に答えようとして、突然きよとんとした表青になった。,1-1
